,Accuracy,Precision,Recall,F1
XGBoost,0.7500799531151782,0.8452150549221606,0.7373480354123396,0.7876054535254715
ANN,0.7492307958919066,0.8479138275593328,0.7323179589897731,0.7858879043984617
